anio,mes,Produccion,empleados,establecimientos,sector_Textil,Produccion_predicha,mes_num,fecha,Sector
2010,septiembre,,640,8,True,2472881,09,2010-09-01,Textil (naranja)
2010,septiembre,,491,4,False,1918382,09,2010-09-01,Pesquera (Azul)
2010,octubre,,496,4,False,1926916,10,2010-10-01,Pesquera (Azul)
2010,octubre,,662,8,True,2510429,10,2010-10-01,Textil (naranja)
2010,noviembre,,476,4,False,1892781,11,2010-11-01,Pesquera (Azul)
2010,noviembre,,679,8,True,2539444,11,2010-11-01,Textil (naranja)
2010,diciembre,,296,3,False,1548915,12,2010-12-01,Pesquera (Azul)
2010,diciembre,,681,7,True,2506209,12,2010-12-01,Textil (naranja)
2011,enero,,681,8,True,2484854,01,2011-01-01,Textil (naranja)
2011,enero,,492,4,False,1862085,01,2011-01-01,Pesquera (Azul)
2011,febrero,,487,4,False,1853551,02,2011-02-01,Pesquera (Azul)
2011,febrero,,683,8,True,2488267,02,2011-02-01,Textil (naranja)
2011,marzo,,494,4,False,1865498,03,2011-03-01,Pesquera (Azul)
2011,marzo,,676,8,True,2476320,03,2011-03-01,Textil (naranja)
2011,abril,,541,4,False,1945716,04,2011-04-01,Pesquera (Azul)
2011,abril,,656,8,True,2442185,04,2011-04-01,Textil (naranja)
2011,mayo,,673,8,True,2471200,05,2011-05-01,Textil (naranja)
2011,mayo,,492,4,False,1862085,05,2011-05-01,Pesquera (Azul)
2011,junio,,662,8,True,2452425,06,2011-06-01,Textil (naranja)
2011,junio,,553,4,False,1966197,06,2011-06-01,Pesquera (Azul)
2011,julio,,528,4,False,1923528,07,2011-07-01,Pesquera (Azul)
2011,julio,,661,8,True,2450719,07,2011-07-01,Textil (naranja)
2011,agosto,,537,4,False,1938889,08,2011-08-01,Pesquera (Azul)
2011,agosto,,655,8,True,2440478,08,2011-08-01,Textil (naranja)
2011,septiembre,,533,4,False,1932062,09,2011-09-01,Pesquera (Azul)
2011,septiembre,,651,8,True,2433651,09,2011-09-01,Textil (naranja)
2011,octubre,,496,4,False,1868912,10,2011-10-01,Pesquera (Azul)
2011,octubre,,641,8,True,2416583,10,2011-10-01,Textil (naranja)
2011,noviembre,,652,8,True,2435358,11,2011-11-01,Textil (naranja)
2011,noviembre,,485,4,False,1850137,11,2011-11-01,Pesquera (Azul)
2011,diciembre,,480,4,False,1841603,12,2011-12-01,Pesquera (Azul)
2011,diciembre,,654,8,True,2438771,12,2011-12-01,Textil (naranja)
2012,enero,,482,4,False,1787013,01,2012-01-01,Pesquera (Azul)
2012,enero,,664,8,True,2397835,01,2012-01-01,Textil (naranja)
2012,febrero,,503,4,False,1822855,02,2012-02-01,Pesquera (Azul)
2012,febrero,,647,8,True,2368820,02,2012-02-01,Textil (naranja)
2012,marzo,,651,8,True,2375647,03,2012-03-01,Textil (naranja)
2012,marzo,,378,3,False,1572861,03,2012-03-01,Pesquera (Azul)
2012,abril,,435,4,False,1706795,04,2012-04-01,Pesquera (Azul)
2012,abril,,650,8,True,2373940,04,2012-04-01,Textil (naranja)
2012,mayo,,442,3,False,1682094,05,2012-05-01,Pesquera (Azul)
2012,mayo,,648,8,True,2370527,05,2012-05-01,Textil (naranja)
2012,junio,,488,3,False,1760604,06,2012-06-01,Pesquera (Azul)
2012,junio,,653,8,True,2379060,06,2012-06-01,Textil (naranja)
2012,julio,,497,3,False,1775965,07,2012-07-01,Pesquera (Azul)
2012,julio,,644,8,True,2363700,07,2012-07-01,Textil (naranja)
2012,agosto,,458,3,False,1709402,08,2012-08-01,Pesquera (Azul)
2012,agosto,,641,8,True,2358579,08,2012-08-01,Textil (naranja)
2012,septiembre,,449,3,False,1694041,09,2012-09-01,Pesquera (Azul)
2012,septiembre,,651,8,True,2375647,09,2012-09-01,Textil (naranja)
2012,octubre,,401,3,False,1612117,10,2012-10-01,Pesquera (Azul)
2012,octubre,,648,8,True,2370527,10,2012-10-01,Textil (naranja)
2012,noviembre,,406,3,False,1620650,11,2012-11-01,Pesquera (Azul)
2012,noviembre,,656,8,True,2384181,11,2012-11-01,Textil (naranja)
2012,diciembre,,447,3,False,1690627,12,2012-12-01,Pesquera (Azul)
2012,diciembre,,666,8,True,2401248,12,2012-12-01,Textil (naranja)
