anio,mes,sector,establecimientos
2003,enero,Plastica,9
2003,febrero,Plastica,9
2003,marzo,Plastica,9
2003,abril,Plastica,9
2003,mayo,Plastica,9
2003,junio,Plastica,9
2003,julio,Plastica,9
2003,agosto,Plastica,9
2003,septiembre,Plastica,9
2003,octubre,Plastica,9
2003,noviembre,Plastica,9
2003,diciembre,Plastica,9
2004,enero,Plastica,9
2004,febrero,Plastica,9
2004,marzo,Plastica,9
2004,abril,Plastica,9
2004,mayo,Plastica,9
2004,junio,Plastica,9
2004,julio,Plastica,9
2004,agosto,Plastica,9
2004,septiembre,Plastica,9
2004,octubre,Plastica,9
2004,noviembre,Plastica,9
2004,diciembre,Plastica,9
2005,enero,Plastica,9
2005,febrero,Plastica,9
2005,marzo,Plastica,9
2005,abril,Plastica,9
2005,mayo,Plastica,9
2005,junio,Plastica,8
2005,julio,Plastica,9
2005,agosto,Plastica,9
2005,septiembre,Plastica,8
2005,octubre,Plastica,8
2005,noviembre,Plastica,9
2005,diciembre,Plastica,8
2006,enero,Plastica,9
2006,febrero,Plastica,9
2006,marzo,Plastica,9
2006,abril,Plastica,9
2006,mayo,Plastica,9
2006,junio,Plastica,9
2006,julio,Plastica,9
2006,agosto,Plastica,9
2006,septiembre,Plastica,9
2006,octubre,Plastica,9
2006,noviembre,Plastica,9
2006,diciembre,Plastica,9
2007,enero,Plastica,9
2007,febrero,Plastica,9
2007,marzo,Plastica,9
2007,abril,Plastica,9
2007,mayo,Plastica,9
2007,junio,Plastica,9
2007,julio,Plastica,9
2007,agosto,Plastica,9
2007,septiembre,Plastica,9
2007,octubre,Plastica,9
2007,noviembre,Plastica,9
2007,diciembre,Plastica,9
2008,enero,Plastica,9
2008,febrero,Plastica,9
2008,marzo,Plastica,9
2008,abril,Plastica,9
2008,mayo,Plastica,9
2008,junio,Plastica,9
2008,julio,Plastica,9
2008,agosto,Plastica,9
2008,septiembre,Plastica,9
2008,octubre,Plastica,9
2008,noviembre,Plastica,9
2008,diciembre,Plastica,9
2009,enero,Plastica,9
2009,febrero,Plastica,9
2009,marzo,Plastica,9
2009,abril,Plastica,9
2009,mayo,Plastica,9
2009,junio,Plastica,9
2009,julio,Plastica,9
2009,agosto,Plastica,9
2009,septiembre,Plastica,9
2009,octubre,Plastica,9
2009,noviembre,Plastica,9
2009,diciembre,Plastica,9
2010,enero,Plastica,9
2010,febrero,Plastica,9
2010,marzo,Plastica,9
2010,abril,Plastica,9
2010,mayo,Plastica,9
2010,junio,Plastica,9
2010,julio,Plastica,9
2010,agosto,Plastica,9
2010,septiembre,Plastica,9
2010,octubre,Plastica,9
2010,noviembre,Plastica,8
2010,diciembre,Plastica,8
2011,enero,Plastica,7
2011,febrero,Plastica,7
2011,marzo,Plastica,7
2011,abril,Plastica,7
2011,mayo,Plastica,7
2011,junio,Plastica,7
2011,julio,Plastica,7
2011,agosto,Plastica,7
2011,septiembre,Plastica,7
2011,octubre,Plastica,7
2011,noviembre,Plastica,7
2011,diciembre,Plastica,7
2012,enero,Plastica,7
2012,febrero,Plastica,7
2012,marzo,Plastica,7
2012,abril,Plastica,7
2012,mayo,Plastica,9
2012,junio,Plastica,9
2012,julio,Plastica,9
2012,agosto,Plastica,8
2012,septiembre,Plastica,8
2012,octubre,Plastica,8
2012,noviembre,Plastica,7
2012,diciembre,Plastica,7
2013,enero,Plastica,7
2013,febrero,Plastica,7
2013,marzo,Plastica,7
2013,abril,Plastica,7
2013,mayo,Plastica,7
2013,junio,Plastica,7
2013,julio,Plastica,7
2013,agosto,Plastica,7
2013,septiembre,Plastica,7
2013,octubre,Plastica,7
2013,noviembre,Plastica,7
2013,diciembre,Plastica,7
2014,enero,Plastica,7
2014,febrero,Plastica,7
2014,marzo,Plastica,7
2014,abril,Plastica,7
2014,mayo,Plastica,7
2014,junio,Plastica,7
2014,julio,Plastica,7
2014,agosto,Plastica,7
