anio,mes,sector,Produccion,empleados,establecimientos
2018,febrero,Otros,83668,420,3
2018,febrero,Pesquera,1218200,482,3
2018,febrero,Plastica,6787472,767,7
2018,febrero,Textil,2755876,776,8
2018,marzo,Confeccionista,397081,338,6
2018,marzo,Electronica,1722452,8955,27
2018,marzo,Otros,111312,425,3
2018,marzo,Pesquera,1249641,488,3
2018,marzo,Plastica,10052349,759,7
2018,marzo,Textil,3013315,725,8
2018,abril,Confeccionista,306392,333,6
2018,abril,Electronica,1508069,8460,26
2018,abril,Otros,104260,430,3
2018,abril,Pesquera,1664986,474,3
2018,abril,Plastica,9750587,745,7
2018,abril,Textil,2838847,732,8
2018,mayo,Confeccionista,301173,331,6
2018,mayo,Electronica,1560488,8664,28
2018,mayo,Otros,107794,424,3
2018,mayo,Pesquera,1792147,472,3
2018,mayo,Plastica,10619119,743,7
2018,mayo,Textil,2915634,727,8
2018,junio,Confeccionista,304680,329,6
2018,junio,Electronica,1016559,7726,26
2018,junio,Otros,106476,411,2
2018,junio,Pesquera,1390240,474,3
2018,junio,Plastica,9379800,740,7
2018,junio,Textil,2260029,702,8
2018,julio,Confeccionista,368342,324,6
2018,julio,Electronica,1016504,7669,26
2018,julio,Otros,104638,399,2
2018,julio,Pesquera,1107875,470,3
2018,julio,Plastica,9887490,746,7
2018,julio,Textil,2569102,693,8
2018,agosto,Confeccionista,343150,326,5
2018,agosto,Electronica,1062447,7624,26
2018,agosto,Otros,96288,391,2
2018,agosto,Pesquera,1318634,454,3
2018,agosto,Plastica,9508183,746,7
2018,agosto,Textil,2316587,675,8
2018,septiembre,Confeccionista,274763,320,5
2018,septiembre,Electronica,810898,7306,25
2018,septiembre,Otros,85640,405,2
2018,septiembre,Pesquera,1533436,457,3
2018,septiembre,Plastica,10002390,738,7
2018,septiembre,Textil,1816070,659,8
2018,octubre,Confeccionista,310663,319,5
2018,octubre,Electronica,938262,7147,25
2018,octubre,Otros,29010,410,2
2018,octubre,Pesquera,1367134,459,3
2018,octubre,Plastica,9703515,737,7
2018,octubre,Textil,1858234,657,8
