anio,mes,sector,Produccion
2013,marzo,Plastica,8822137
2013,abril,Plastica,9082189
2013,mayo,Plastica,8274301
2013,junio,Plastica,6730647
2013,julio,Plastica,7355424
2013,agosto,Plastica,7578185
2013,septiembre,Plastica,8049806
2013,octubre,Plastica,8469223
2013,noviembre,Plastica,6927031
2013,diciembre,Plastica,5297455
2014,enero,Plastica,5063428
2014,febrero,Plastica,7197488
2014,marzo,Plastica,7938433
2014,abril,Plastica,7832127
2014,mayo,Plastica,8139937
2014,junio,Plastica,7377338
2014,julio,Plastica,7688990
2014,agosto,Plastica,8947520
2014,septiembre,Plastica,7450281
2014,octubre,Plastica,8947616
2014,noviembre,Plastica,7963218
2014,diciembre,Plastica,6208416
2015,enero,Plastica,5699209
2015,febrero,Plastica,6703243
2015,marzo,Plastica,8777702
2015,abril,Plastica,8378931
2015,mayo,Plastica,8736245
2015,junio,Plastica,9306644
2015,julio,Plastica,9103024
2015,agosto,Plastica,9907592
2015,septiembre,Plastica,10512316
2015,octubre,Plastica,9310114
2015,noviembre,Plastica,7638384
2015,diciembre,Plastica,7064304
2016,enero,Plastica,6846812
2016,febrero,Plastica,8815590
2016,marzo,Plastica,9780510
2016,abril,Plastica,9209110
2016,mayo,Plastica,9677046
2016,junio,Plastica,8648316
2016,julio,Plastica,8045126
2016,agosto,Plastica,8324038
2016,septiembre,Plastica,8603148
2016,octubre,Plastica,8449551
2016,noviembre,Plastica,7752419
2016,diciembre,Plastica,6570992
2017,enero,Plastica,8729440
2017,febrero,Plastica,8437398
2017,marzo,Plastica,9497921
2017,abril,Plastica,8830334
2017,mayo,Plastica,8896405
2017,junio,Plastica,8142679
2017,julio,Plastica,8354584
2017,agosto,Plastica,9216255
2017,septiembre,Plastica,9098484
2017,octubre,Plastica,9680694
2017,noviembre,Plastica,9216157
2017,diciembre,Plastica,7177781
2018,enero,Plastica,6783922
2018,febrero,Plastica,6787472
2018,marzo,Plastica,10052349
2018,abril,Plastica,9750587
2018,mayo,Plastica,10619119
2018,junio,Plastica,9379800
2018,julio,Plastica,9887490
2018,agosto,Plastica,9508183
2018,septiembre,Plastica,10002390
2018,octubre,Plastica,9703515
2018,noviembre,Plastica,8778516
2018,diciembre,Plastica,4756251
2019,enero,Plastica,6653549
2019,febrero,Plastica,8161728
2019,marzo,Plastica,9577034
2019,abril,Plastica,9202770
2019,mayo,Plastica,10259123
2019,junio,Plastica,10790813
2019,julio,Plastica,10525011
2019,agosto,Plastica,10142377
2019,septiembre,Plastica,10640743
2019,octubre,Plastica,11502118
2019,noviembre,Plastica,10979461
2019,diciembre,Plastica,6903002
2020,enero,Plastica,9536177
2020,febrero,Plastica,10300779
2020,marzo,Plastica,10764049
2020,abril,Plastica,10061129
2020,mayo,Plastica,10971348
2020,junio,Plastica,11446278
2020,julio,Plastica,11148417
2020,agosto,Plastica,11399229
2020,septiembre,Plastica,10401474
2020,octubre,Plastica,10409432
2020,noviembre,Plastica,10819058
2020,diciembre,Plastica,9153274
2021,enero,Plastica,11149083
2021,febrero,Plastica,11424490
2021,marzo,Plastica,11490445
2021,abril,Plastica,10271221
2021,mayo,Plastica,11883922
2021,junio,Plastica,11546457
2021,julio,Plastica,12409590
2021,agosto,Plastica,11640608
2021,septiembre,Plastica,12870098
2021,octubre,Plastica,13532156
2021,noviembre,Plastica,12636298
2021,diciembre,Plastica,9802400
2022,enero,Plastica,9629670
2022,febrero,Plastica,11093023
2022,marzo,Plastica,12671241
2022,abril,Plastica,12157482
2022,mayo,Plastica,13654906
2022,junio,Plastica,13912217
2022,julio,Plastica,12901168
2022,agosto,Plastica,12926202
2022,septiembre,Plastica,11661038
2022,octubre,Plastica,10873434
2022,noviembre,Plastica,10558978
2022,diciembre,Plastica,9189222
2023,enero,Plastica,12430469
2023,febrero,Plastica,13000475
2023,marzo,Plastica,14659155
2023,abril,Plastica,13767330
2023,mayo,Plastica,12906765
2023,junio,Plastica,12967063
2023,julio,Plastica,13578746
2023,agosto,Plastica,15129559
2023,septiembre,Plastica,14416724
2023,octubre,Plastica,15482008
2023,noviembre,Plastica,14690044
2023,diciembre,Plastica,11231540
2024,enero,Plastica,10952409
2024,febrero,Plastica,2088824
2024,marzo,Plastica,12710487
2024,abril,Plastica,11942036
2024,mayo,Plastica,11606908
2024,junio,Plastica,10299237
