anio,mes,sector,Produccion,empleados,establecimientos
2007,junio,Confeccionista,,737,7
2007,junio,Electronica,,4323,19
2007,junio,Otros,,120,4
2007,junio,Pesquera,,296,2
2007,junio,Plastica,,655,9
2007,junio,Textil,,613,8
2007,julio,Confeccionista,,735,7
2007,julio,Electronica,,4811,20
2007,julio,Otros,,122,4
2007,julio,Pesquera,,292,2
2007,julio,Plastica,,663,9
2007,julio,Textil,,607,8
2007,agosto,Confeccionista,,731,7
2007,agosto,Electronica,,4987,20
2007,agosto,Otros,,123,4
2007,agosto,Pesquera,,293,2
2007,agosto,Plastica,,713,9
2007,agosto,Textil,,615,8
2007,septiembre,Confeccionista,,732,7
2007,septiembre,Electronica,,5138,19
2007,septiembre,Otros,,123,4
2007,septiembre,Pesquera,,295,2
2007,septiembre,Plastica,,734,9
2007,septiembre,Textil,,621,8
2007,octubre,Confeccionista,,740,7
2007,octubre,Electronica,,5149,19
2007,octubre,Otros,,118,4
2007,octubre,Pesquera,,292,2
2007,octubre,Plastica,,720,9
2007,octubre,Textil,,627,8
2007,noviembre,Confeccionista,,732,7
2007,noviembre,Electronica,,5252,19
2007,noviembre,Otros,,106,4
2007,noviembre,Pesquera,,271,2
2007,noviembre,Plastica,,719,9
2007,noviembre,Textil,,635,8
2007,diciembre,Confeccionista,,723,7
2007,diciembre,Electronica,,4164,19
2007,diciembre,Otros,,66,3
2007,diciembre,Pesquera,,22,1
2007,diciembre,Plastica,,708,9
2007,diciembre,Textil,,623,7
2008,enero,Confeccionista,,707,7
2008,enero,Electronica,,3549,20
2008,enero,Otros,,179,6
2008,enero,Pesquera,,316,2
2008,enero,Plastica,,722,9
2008,enero,Textil,,639,8
2008,febrero,Confeccionista,,710,7
2008,febrero,Electronica,,3732,20
2008,febrero,Otros,,183,6
2008,febrero,Pesquera,,378,3
2008,febrero,Plastica,,803,9
2008,febrero,Textil,,639,8
2008,marzo,Confeccionista,,718,7
2008,marzo,Electronica,,3813,20
2008,marzo,Otros,,190,6
2008,marzo,Pesquera,,454,4
2008,marzo,Plastica,,711,9
2008,marzo,Textil,,628,8
2008,abril,Confeccionista,,727,7
2008,abril,Electronica,,3909,20
2008,abril,Otros,,189,5
2008,abril,Pesquera,,557,5
2008,abril,Plastica,,712,9
2008,abril,Textil,,634,8
2008,mayo,Confeccionista,,722,6
2008,mayo,Electronica,,4243,20
2008,mayo,Otros,,94,4
2008,mayo,Pesquera,,543,5
2008,mayo,Plastica,,702,9
2008,mayo,Textil,,645,8
2008,junio,Confeccionista,,722,6
2008,junio,Electronica,,4707,21
2008,junio,Otros,,94,5
2008,junio,Pesquera,,554,5
2008,junio,Plastica,,699,9
2008,junio,Textil,,616,8
2008,julio,Confeccionista,,703,6
2008,julio,Electronica,,5000,21
2008,julio,Otros,,96,5
2008,julio,Pesquera,,544,5
2008,julio,Plastica,,691,9
2008,julio,Textil,,621,8
2008,agosto,Confeccionista,,668,6
2008,agosto,Electronica,,5055,21
2008,agosto,Otros,,91,4
2008,agosto,Pesquera,,509,5
2008,agosto,Plastica,,663,9
2008,agosto,Textil,,619,8
2008,septiembre,Confeccionista,,630,5
2008,septiembre,Electronica,,5175,21
2008,septiembre,Otros,,92,5
2008,septiembre,Pesquera,,500,5
2008,septiembre,Plastica,,654,9
2008,septiembre,Textil,,619,8
2008,octubre,Confeccionista,,600,5
2008,octubre,Electronica,,5181,21
2008,octubre,Otros,,94,5
2008,octubre,Pesquera,,514,5
2008,octubre,Plastica,,644,9
2008,octubre,Textil,,618,8
2008,noviembre,Confeccionista,,600,5
2008,noviembre,Electronica,,5063,21
2008,noviembre,Otros,,93,4
2008,noviembre,Pesquera,,487,5
2008,noviembre,Plastica,,648,9
2008,noviembre,Textil,,623,8
2008,diciembre,Confeccionista,,595,5
2008,diciembre,Electronica,,3962,21
2008,diciembre,Otros,,92,5
2008,diciembre,Pesquera,,482,4
2008,diciembre,Plastica,,644,9
2008,diciembre,Textil,,612,7
2009,enero,Confeccionista,,597,6
2009,enero,Electronica,,3493,21
2009,enero,Otros,,189,6
2009,enero,Pesquera,,501,4
2009,enero,Plastica,,704,9
2009,enero,Textil,,622,8
2009,febrero,Confeccionista,,593,6
2009,febrero,Electronica,,2999,21
2009,febrero,Otros,,189,6
2009,febrero,Pesquera,,489,4
2009,febrero,Plastica,,710,9
2009,febrero,Textil,,629,8
2009,marzo,Confeccionista,,589,6
2009,marzo,Electronica,,2916,22
2009,marzo,Otros,,189,6
2009,marzo,Pesquera,,496,4
2009,marzo,Plastica,,700,9
2009,marzo,Textil,,619,8
2009,abril,Confeccionista,,570,6
2009,abril,Electronica,,2905,22
2009,abril,Otros,,187,5
2009,abril,Pesquera,,497,4
2009,abril,Plastica,,672,9
2009,abril,Textil,,609,8
2009,mayo,Confeccionista,,564,6
2009,mayo,Electronica,,2979,23
2009,mayo,Otros,,187,5
2009,mayo,Pesquera,,496,4
2009,mayo,Plastica,,635,9
2009,mayo,Textil,,613,8
2009,junio,Confeccionista,,564,6
2009,junio,Electronica,,2912,23
2009,junio,Otros,,186,5
2009,junio,Pesquera,,516,4
2009,junio,Plastica,,632,9
2009,junio,Textil,,619,8
2009,julio,Confeccionista,,563,6
2009,julio,Electronica,,3028,23
2009,julio,Otros,,183,5
2009,julio,Pesquera,,527,4
2009,julio,Plastica,,622,9
2009,julio,Textil,,610,8
2009,agosto,Confeccionista,,566,6
2009,agosto,Electronica,,3411,23
2009,agosto,Otros,,184,5
2009,agosto,Pesquera,,507,4
2009,agosto,Plastica,,616,9
2009,agosto,Textil,,605,8
2009,septiembre,Confeccionista,,556,6
2009,septiembre,Electronica,,3917,22
2009,septiembre,Otros,,184,5
2009,septiembre,Pesquera,,508,4
2009,septiembre,Plastica,,648,9
2009,septiembre,Textil,,604,8
2009,octubre,Confeccionista,,577,5
2009,octubre,Electronica,,4367,24
2009,octubre,Otros,,84,4
2009,octubre,Pesquera,,510,4
2009,octubre,Plastica,,653,9
2009,octubre,Textil,,616,8
2009,noviembre,Confeccionista,,577,5
2009,noviembre,Electronica,,4657,23
2009,noviembre,Otros,,81,4
2009,noviembre,Pesquera,,481,4
2009,noviembre,Plastica,,652,9
2009,noviembre,Textil,,618,8
2009,diciembre,Confeccionista,,574,5
2009,diciembre,Electronica,,4293,21
2009,diciembre,Otros,,60,2
2009,diciembre,Pesquera,,540,4
2009,diciembre,Plastica,,683,9
2009,diciembre,Textil,,616,7
2010,enero,Confeccionista,,572,7
2010,enero,Electronica,,4376,24
2010,enero,Otros,,80,4
2010,enero,Pesquera,,500,4
2010,enero,Plastica,,753,9
2010,enero,Textil,,627,8
2010,febrero,Confeccionista,,574,7
2010,febrero,Electronica,,4590,24
2010,febrero,Otros,,78,4
2010,febrero,Pesquera,,504,4
2010,febrero,Plastica,,724,9
2010,febrero,Textil,,623,8
2010,marzo,Confeccionista,,580,7
2010,marzo,Electronica,,4681,24
2010,marzo,Otros,,77,4
2010,marzo,Pesquera,,476,4
2010,marzo,Plastica,,734,9
2010,marzo,Textil,,638,8
2010,abril,Confeccionista,,575,7
2010,abril,Electronica,,4853,25
2010,abril,Otros,,76,4
2010,abril,Pesquera,,502,4
2010,abril,Plastica,,740,9
2010,abril,Textil,,643,8
2010,mayo,Confeccionista,,571,7
2010,mayo,Electronica,,5232,25
2010,mayo,Otros,,76,4
2010,mayo,Pesquera,,486,4
2010,mayo,Plastica,,730,9
2010,mayo,Textil,,654,8
2010,junio,Confeccionista,,571,7
2010,junio,Electronica,,5525,25
2010,junio,Otros,,76,4
2010,junio,Pesquera,,546,4
2010,junio,Plastica,,701,9
2010,junio,Textil,,649,8
2010,julio,Confeccionista,,567,7
2010,julio,Electronica,,5658,25
2010,julio,Otros,,82,4
2010,julio,Pesquera,,521,4
2010,julio,Plastica,,693,9
2010,julio,Textil,,650,8
2010,agosto,Confeccionista,,566,7
2010,agosto,Electronica,,6491,25
2010,agosto,Otros,,82,4
2010,agosto,Pesquera,,503,4
2010,agosto,Plastica,,772,9
2010,agosto,Textil,,645,8
2010,septiembre,Confeccionista,,557,6
2010,septiembre,Electronica,,7359,25
2010,septiembre,Otros,,85,4
2010,septiembre,Pesquera,,491,4
2010,septiembre,Plastica,,769,9
2010,septiembre,Textil,,640,8
2010,octubre,Confeccionista,,560,7
2010,octubre,Electronica,,7673,25
2010,octubre,Otros,,82,4
2010,octubre,Pesquera,,496,4
2010,octubre,Plastica,,773,9
2010,octubre,Textil,,662,8
2010,noviembre,Confeccionista,,556,7
2010,noviembre,Electronica,,7362,22
2010,noviembre,Otros,,82,4
2010,noviembre,Pesquera,,476,4
2010,noviembre,Plastica,,792,8
2010,noviembre,Textil,,679,8
2010,diciembre,Confeccionista,,419,5
2010,diciembre,Electronica,,7402,22
2010,diciembre,Otros,,78,4
2010,diciembre,Pesquera,,296,3
2010,diciembre,Plastica,,692,8
2010,diciembre,Textil,,681,7
2011,enero,Confeccionista,,531,6
2011,enero,Electronica,,6080,21
2011,enero,Otros,,539,4
2011,enero,Pesquera,,492,4
2011,enero,Plastica,,795,7
2011,enero,Textil,,681,8
2011,febrero,Confeccionista,,552,6
2011,febrero,Electronica,,6490,22
2011,febrero,Otros,,530,4
2011,febrero,Pesquera,,487,4
2011,febrero,Plastica,,791,7
2011,febrero,Textil,,683,8
2011,marzo,Confeccionista,,544,6
2011,marzo,Electronica,,6543,22
2011,marzo,Otros,,516,4
2011,marzo,Pesquera,,494,4
2011,marzo,Plastica,,781,7
2011,marzo,Textil,,676,8
2011,abril,Confeccionista,,547,6
2011,abril,Electronica,,7065,22
2011,abril,Otros,,529,4
2011,abril,Pesquera,,541,4
2011,abril,Plastica,,777,7
2011,abril,Textil,,656,8
2011,mayo,Confeccionista,,480,6
2011,mayo,Electronica,,7859,22
2011,mayo,Otros,,523,4
2011,mayo,Pesquera,,492,4
2011,mayo,Plastica,,763,7
2011,mayo,Textil,,673,8
2011,junio,Confeccionista,,481,6
2011,junio,Electronica,,8820,23
2011,junio,Otros,,521,4
2011,junio,Pesquera,,553,4
2011,junio,Plastica,,666,7
2011,junio,Textil,,662,8
2011,julio,Confeccionista,,462,5
2011,julio,Electronica,,9523,23
2011,julio,Otros,,516,4
2011,julio,Pesquera,,528,4
2011,julio,Plastica,,723,7
2011,julio,Textil,,661,8
2011,agosto,Confeccionista,,536,6
2011,agosto,Electronica,,9853,23
2011,agosto,Otros,,514,4
2011,agosto,Pesquera,,537,4
2011,agosto,Plastica,,743,7
2011,agosto,Textil,,655,8
2011,septiembre,Confeccionista,,542,6
2011,septiembre,Electronica,,10434,23
2011,septiembre,Otros,,518,4
2011,septiembre,Pesquera,,533,4
2011,septiembre,Plastica,,758,7
2011,septiembre,Textil,,651,8
2011,octubre,Confeccionista,,426,5
2011,octubre,Electronica,,10835,23
2011,octubre,Otros,,515,4
2011,octubre,Pesquera,,496,4
2011,octubre,Plastica,,775,7
2011,octubre,Textil,,641,8
2011,noviembre,Confeccionista,,419,5
2011,noviembre,Electronica,,10825,23
2011,noviembre,Otros,,508,4
2011,noviembre,Pesquera,,485,4
2011,noviembre,Plastica,,807,7
2011,noviembre,Textil,,652,8
2011,diciembre,Confeccionista,,413,5
2011,diciembre,Electronica,,10215,24
2011,diciembre,Otros,,505,4
2011,diciembre,Pesquera,,480,4
2011,diciembre,Plastica,,814,7
2011,diciembre,Textil,,654,8
2012,enero,Confeccionista,,401,6
2012,enero,Electronica,,8201,23
2012,enero,Otros,,481,4
2012,enero,Pesquera,,482,4
2012,enero,Plastica,,828,7
2012,enero,Textil,,664,8
2012,febrero,Confeccionista,,418,6
2012,febrero,Electronica,,8590,23
2012,febrero,Otros,,462,4
2012,febrero,Pesquera,,503,4
2012,febrero,Plastica,,833,7
2012,febrero,Textil,,647,8
2012,marzo,Confeccionista,,430,6
2012,marzo,Electronica,,9032,24
