anio,mes,sector,empleados
2007,junio,Electronica,4323
2007,julio,Electronica,4811
2007,agosto,Electronica,4987
2007,septiembre,Electronica,5138
2007,octubre,Electronica,5149
2007,noviembre,Electronica,5252
2007,diciembre,Electronica,4164
2008,enero,Electronica,3549
2008,febrero,Electronica,3732
2008,marzo,Electronica,3813
2008,abril,Electronica,3909
2008,mayo,Electronica,4243
2008,junio,Electronica,4707
2008,julio,Electronica,5000
2008,agosto,Electronica,5055
2008,septiembre,Electronica,5175
2008,octubre,Electronica,5181
2008,noviembre,Electronica,5063
2008,diciembre,Electronica,3962
2009,enero,Electronica,3493
2009,febrero,Electronica,2999
2009,marzo,Electronica,2916
2009,abril,Electronica,2905
2009,mayo,Electronica,2979
2009,junio,Electronica,2912
2009,julio,Electronica,3028
2009,agosto,Electronica,3411
2009,septiembre,Electronica,3917
2009,octubre,Electronica,4367
2009,noviembre,Electronica,4657
2009,diciembre,Electronica,4293
2010,enero,Electronica,4376
2010,febrero,Electronica,4590
2010,marzo,Electronica,4681
2010,abril,Electronica,4853
2010,mayo,Electronica,5232
2010,junio,Electronica,5525
2010,julio,Electronica,5658
2010,agosto,Electronica,6491
2010,septiembre,Electronica,7359
2010,octubre,Electronica,7673
2010,noviembre,Electronica,7362
2010,diciembre,Electronica,7402
2011,enero,Electronica,6080
2011,febrero,Electronica,6490
2011,marzo,Electronica,6543
2011,abril,Electronica,7065
2011,mayo,Electronica,7859
2011,junio,Electronica,8820
2011,julio,Electronica,9523
2011,agosto,Electronica,9853
2011,septiembre,Electronica,10434
2011,octubre,Electronica,10835
2011,noviembre,Electronica,10825
2011,diciembre,Electronica,10215
2012,enero,Electronica,8201
2012,febrero,Electronica,8590
2012,marzo,Electronica,9032
2012,abril,Electronica,9779
2012,mayo,Electronica,10080
2012,junio,Electronica,10688
2012,julio,Electronica,11101
2012,agosto,Electronica,11681
2012,septiembre,Electronica,12155
2012,octubre,Electronica,12271
2012,noviembre,Electronica,12632
2012,diciembre,Electronica,11207
2013,enero,Electronica,11001
2013,febrero,Electronica,11381
2013,marzo,Electronica,11753
2013,abril,Electronica,12124
2013,mayo,Electronica,12227
2013,junio,Electronica,12393
2013,julio,Electronica,13120
2013,agosto,Electronica,13450
2013,septiembre,Electronica,13727
2013,octubre,Electronica,13775
2013,noviembre,Electronica,13618
2013,diciembre,Electronica,11363
2014,enero,Electronica,10116
2014,febrero,Electronica,9856
2014,marzo,Electronica,10277
2014,abril,Electronica,9821
2014,mayo,Electronica,9884
2014,junio,Electronica,10330
2014,julio,Electronica,10683
2014,agosto,Electronica,11512
2014,septiembre,Electronica,11845
2014,octubre,Electronica,11471
2014,noviembre,Electronica,11560
2014,diciembre,Electronica,8442
2015,enero,Electronica,8101
2015,febrero,Electronica,8751
2015,marzo,Electronica,8784
2015,abril,Electronica,9359
2015,mayo,Electronica,9944
2015,junio,Electronica,10554
2015,julio,Electronica,11227
2015,agosto,Electronica,11944
2015,septiembre,Electronica,12980
2015,octubre,Electronica,13706
2015,noviembre,Electronica,13820
2015,diciembre,Electronica,13408
2016,enero,Electronica,10034
2016,febrero,Electronica,10202
2016,marzo,Electronica,10152
2016,abril,Electronica,9713
2016,mayo,Electronica,9335
2016,junio,Electronica,9429
2016,julio,Electronica,9505
2016,agosto,Electronica,10055
2016,septiembre,Electronica,10160
2016,octubre,Electronica,9839
2016,noviembre,Electronica,9232
2016,diciembre,Electronica,7214
2017,enero,Electronica,7170
2017,febrero,Electronica,7227
2017,marzo,Electronica,7273
2017,abril,Electronica,7274
2017,mayo,Electronica,7520
2017,junio,Electronica,7831
2017,julio,Electronica,8358
2017,agosto,Electronica,8772
2017,septiembre,Electronica,8912
2017,octubre,Electronica,9174
2017,noviembre,Electronica,9343
2017,diciembre,Electronica,8085
2018,enero,Electronica,8209
2018,febrero,Electronica,8679
2018,marzo,Electronica,8955
2018,abril,Electronica,8460
2018,mayo,Electronica,8664
2018,junio,Electronica,7726
2018,julio,Electronica,7669
2018,agosto,Electronica,7624
2018,septiembre,Electronica,7306
2018,octubre,Electronica,7147
2018,noviembre,Electronica,6912
2018,diciembre,Electronica,6237
2019,enero,Electronica,6202
2019,febrero,Electronica,6026
2019,marzo,Electronica,5876
2019,abril,Electronica,5908
2019,mayo,Electronica,5944
2019,junio,Electronica,6025
2019,julio,Electronica,6124
2019,agosto,Electronica,6085
2019,septiembre,Electronica,5868
2019,octubre,Electronica,5829
2019,noviembre,Electronica,5902
2019,diciembre,Electronica,5894
2020,enero,Electronica,5676
2020,febrero,Electronica,5660
2020,marzo,Electronica,5732
2020,abril,Electronica,5223
2020,mayo,Electronica,6150
2020,junio,Electronica,7091
2020,julio,Electronica,7570
2020,agosto,Electronica,7414
2020,septiembre,Electronica,8636
2020,octubre,Electronica,9839
2020,noviembre,Electronica,10347
2020,diciembre,Electronica,8457
2021,enero,Electronica,8981
2021,febrero,Electronica,8572
2021,marzo,Electronica,8653
2021,abril,Electronica,8674
2021,mayo,Electronica,8485
2021,junio,Electronica,8414
2021,julio,Electronica,7960
2021,agosto,Electronica,8110
2021,septiembre,Electronica,8441
2021,octubre,Electronica,8235
2021,noviembre,Electronica,8750
2021,diciembre,Electronica,8422
2022,enero,Electronica,8023
2022,febrero,Electronica,7605
2022,marzo,Electronica,7905
2022,abril,Electronica,8880
2022,mayo,Electronica,9578
2022,junio,Electronica,10211
2022,julio,Electronica,9823
2022,agosto,Electronica,8632
2022,septiembre,Electronica,9171
2022,octubre,Electronica,9721
2022,noviembre,Electronica,9656
2022,diciembre,Electronica,8146
2023,enero,Electronica,8188
2023,febrero,Electronica,8312
2023,marzo,Electronica,8582
2023,abril,Electronica,8515
2023,mayo,Electronica,8936
2023,junio,Electronica,9235
2023,julio,Electronica,9227
2023,agosto,Electronica,9407
2023,septiembre,Electronica,9435
2023,octubre,Electronica,9472
2023,noviembre,Electronica,8376
2023,diciembre,Electronica,6740
2024,enero,Electronica,5268
2024,febrero,Electronica,5152
2024,marzo,Electronica,5305
2024,abril,Electronica,5205
2024,mayo,Electronica,5338
2024,junio,Electronica,5840
2024,julio,Electronica,6305
2024,agosto,Electronica,6504
2024,septiembre,Electronica,6591
2024,octubre,Electronica,7925
2024,noviembre,Electronica,8257
2024,diciembre,Electronica,7804
2025,enero,Electronica,7604
2025,febrero,Electronica,6891
2025,marzo,Electronica,6731
2001,enero,Plastica,284
2001,febrero,Plastica,282
2001,marzo,Plastica,284
2001,abril,Plastica,289
2001,mayo,Plastica,289
2001,junio,Plastica,295
2001,julio,Plastica,296
2001,agosto,Plastica,294
2001,septiembre,Plastica,300
2001,octubre,Plastica,305
2001,noviembre,Plastica,297
2001,diciembre,Plastica,250
2002,enero,Plastica,282
2002,febrero,Plastica,284
2002,marzo,Plastica,277
2002,abril,Plastica,275
2002,mayo,Plastica,270
2002,junio,Plastica,270
2002,julio,Plastica,270
2002,agosto,Plastica,274
2002,septiembre,Plastica,288
2002,octubre,Plastica,293
2002,noviembre,Plastica,305
2002,diciembre,Plastica,296
2003,enero,Plastica,306
2003,febrero,Plastica,307
2003,marzo,Plastica,309
2003,abril,Plastica,314
2003,mayo,Plastica,316
2003,junio,Plastica,319
2003,julio,Plastica,331
2003,agosto,Plastica,347
2003,septiembre,Plastica,383
2003,octubre,Plastica,396
2003,noviembre,Plastica,398
2003,diciembre,Plastica,415
2004,enero,Plastica,429
2004,febrero,Plastica,463
2004,marzo,Plastica,484
2004,abril,Plastica,491
2004,mayo,Plastica,463
2004,junio,Plastica,435
2004,julio,Plastica,425
2004,agosto,Plastica,435
2004,septiembre,Plastica,449
2004,octubre,Plastica,467
2004,noviembre,Plastica,501
2004,diciembre,Plastica,515
2005,enero,Plastica,533
2005,febrero,Plastica,537
2005,marzo,Plastica,570
2005,abril,Plastica,575
2005,mayo,Plastica,553
2005,junio,Plastica,487
